,16242ba1-42fd-4fae-bd2e-433b97fc95c6_11,1d26c6ae-f2fc-49e4-83a4-b79398c3d8f8_11,25fb2523-3f46-45c4-b54d-16aafdeb4904_11,680b2e96-f00b-4012-8728-b0ec20c50ce0_11,a2b0094b-8a0c-4505-a1fa-7e1e47d0374d_11
MIMAT0000460,490.0,677.0,969.0,675.0,1051.0
MIMAT0000461,140.0,61.0,271.0,166.0,224.0
MIMAT0000462,3.0,10.0,10.0,2.0,9.0
MIMAT0000510,1692.0,6223.0,2353.0,2311.0,1928.0
MIMAT0000617,56.0,60.0,107.0,55.0,71.0
MIMAT0000646,99.0,83.0,141.0,106.0,129.0
MIMAT0000680,497.0,831.0,942.0,1050.0,1233.0
MIMAT0000681,18469.0,11654.0,25272.0,15153.0,28266.0
MIMAT0000682,5.0,23.0,14.0,8.0,13.0
MIMAT0000683,4.0,0.0,4.0,1.0,2.0
MIMAT0000684,0.0,0.0,1.0,0.0,0.0
MIMAT0000685,4.0,11.0,1.0,3.0,4.0
MIMAT0000686,6.0,137.0,13.0,20.0,36.0
MIMAT0000687,34.0,4.0,49.0,23.0,55.0
MIMAT0000688,57.0,103.0,82.0,66.0,87.0
MIMAT0000689,182044.0,268349.0,217188.0,130753.0,168876.0
MIMAT0000690,8.0,40.0,10.0,15.0,19.0
MIMAT0000691,36.0,48.0,63.0,52.0,75.0
MIMAT0000692,28507.0,34108.0,36397.0,25145.0,32551.0
MIMAT0000693,25478.0,30685.0,25337.0,20054.0,22465.0
MIMAT0000703,2560.0,2542.0,3538.0,1720.0,3577.0
MIMAT0000705,38.0,83.0,42.0,16.0,53.0
MIMAT0000707,246.0,124.0,277.0,283.0,341.0
MIMAT0000710,314.0,308.0,355.0,227.0,480.0
MIMAT0000715,3.0,0.0,6.0,1.0,1.0
MIMAT0000716,0.0,0.0,1.0,0.0,0.0
MIMAT0000718,0.0,0.0,1.0,0.0,0.0
MIMAT0000720,70.0,36.0,93.0,79.0,99.0
MIMAT0000721,288.0,147.0,516.0,293.0,476.0
MIMAT0000722,769.0,402.0,1174.0,490.0,943.0
MIMAT0000724,4.0,0.0,0.0,1.0,1.0
MIMAT0000726,2.0,0.0,0.0,0.0,0.0
MIMAT0000727,101.0,156.0,196.0,143.0,227.0
MIMAT0000728,516.0,654.0,533.0,434.0,387.0
MIMAT0000729,17.0,6.0,34.0,35.0,50.0
MIMAT0000730,28.0,20.0,51.0,36.0,62.0
MIMAT0000731,149.0,59.0,176.0,126.0,188.0
MIMAT0000732,1485.0,855.0,2685.0,1591.0,2524.0
MIMAT0000733,58485.0,16308.0,70355.0,34584.0,62708.0
MIMAT0000734,185.0,56.0,363.0,161.0,416.0
MIMAT0000735,47.0,16.0,75.0,34.0,66.0
MIMAT0000736,1438.0,554.0,2373.0,1279.0,2091.0
MIMAT0000737,726.0,359.0,1181.0,592.0,1145.0
MIMAT0000738,1069.0,450.0,1653.0,987.0,1509.0
MIMAT0000750,182.0,350.0,248.0,146.0,207.0
MIMAT0000751,289.0,885.0,427.0,314.0,540.0
MIMAT0000752,3627.0,1930.0,3300.0,2052.0,2504.0
MIMAT0000753,1257.0,973.0,1733.0,1023.0,1683.0
MIMAT0000754,232.0,114.0,254.0,212.0,278.0
MIMAT0000755,1553.0,684.0,1995.0,1262.0,1848.0
MIMAT0000756,94.0,50.0,104.0,107.0,125.0
MIMAT0000757,6728.0,28329.0,12017.0,9199.0,16655.0
MIMAT0000758,4.0,1.0,6.0,7.0,10.0
MIMAT0000759,506.0,1101.0,825.0,597.0,983.0
MIMAT0000760,274.0,199.0,309.0,185.0,244.0
MIMAT0000761,184.0,160.0,254.0,175.0,228.0
MIMAT0000762,277.0,221.0,446.0,168.0,301.0
MIMAT0000763,34286.0,392485.0,72932.0,71006.0,168226.0
MIMAT0000764,45.0,159.0,63.0,104.0,65.0
MIMAT0000765,173.0,56.0,268.0,163.0,260.0
MIMAT0000770,6.0,1.0,22.0,15.0,8.0
MIMAT0000772,50.0,81.0,46.0,43.0,45.0
MIMAT0000773,87.0,188.0,127.0,91.0,127.0
MIMAT0001080,2.0,1.0,18.0,30.0,21.0
MIMAT0001340,302.0,436.0,476.0,242.0,431.0
MIMAT0001341,134.0,89.0,119.0,119.0,106.0
MIMAT0001343,80.0,46.0,72.0,65.0,67.0
MIMAT0001412,1.0,2.0,3.0,0.0,2.0
MIMAT0001413,339.0,207.0,414.0,297.0,273.0
MIMAT0001532,6.0,1.0,16.0,4.0,19.0
MIMAT0001536,1.0,6.0,6.0,1.0,8.0
MIMAT0001541,0.0,0.0,4.0,2.0,1.0
MIMAT0001545,19.0,14.0,15.0,27.0,13.0
MIMAT0001618,22.0,6.0,13.0,6.0,22.0
MIMAT0001620,7.0,36.0,5.0,6.0,15.0
MIMAT0001621,103.0,46.0,157.0,85.0,159.0
