,0030a28c-81aa-44b0-8be0-b35e1dcbf98c_01,0bf573ac-cd1e-42d8-90cf-b30d7b08679c_01,0e251c03-bf86-4ed8-b45d-3cbc97160502_01,0e9fcccc-0630-408d-a121-2c6413824cb7_01,1843c82e-7a35-474f-9f79-c0a9af9aa09c_01,1d0db5d7-39ca-466d-96b3-0d278c5ea768_01,1ea575f1-f731-408b-a629-f5f4abab569e_01,1f971af1-6772-4fe6-8d35-bbe527a037fe_01,25ff86af-beb4-480c-b706-f3fe0306f7cf_01,29aff186-c321-4ff9-b81b-105e27e620ff_01,29e3d122-15a1-4235-a356-b1a9f94ceb39_01,31bbad4e-3789-42ec-9faa-1cb86970f723_01,33365d22-cb83-4d8e-a2d1-06b675f75f6e_01,3622cf29-600f-4410-84d4-a9afeb41c475_01,3f5a897d-1eaa-4d4c-8324-27ac07c90927_01,45b0cf9f-a879-417f-8f39-7770552252c0_01,4dd86ebd-ef16-4b2b-9ea0-5d1d7afef257_01,58e66976-4507-4552-ac53-83a49a142dde_01,5eff68ff-f6c3-40c9-9fc8-00e684a7b712_01,67325322-483f-443f-9ffa-2a20d108a2fb_01,69f23725-adca-48ac-9b33-80a7aae24cfe_01,6a21c948-cd85-4150-8c01-83017d7dc1ed_01,6e9437f0-a4ed-475c-ab0e-bf1431c70a90_01,a43e5f0e-a21f-48d8-97e0-084d413680b7_01,a468e725-ad4b-411d-ac5c-2eacc68ec580_01,a5b188f0-a6d3-4d4a-b04f-36d47ec05338_01,a6923479-4e68-4ea8-87ed-e9642b9d43d5_01,a8e2df1e-4042-42af-9231-3a00e83489f0_01,b56bdbdb-43af-4a03-a072-54dd22d7550c_01,c1c06604-5ae2-4a53-b9c0-eb210d38e3f0_01,c3d662ee-48d0-454a-bb0c-77d3338d3747_01,c85f340e-584b-4f3b-b6a5-540491fc8ad2_01,c8cde9ea-89e9-4ee8-8a46-417a48f6d3ab_01,d7df78b5-24f1-4ff4-bd9b-f0e6bec8289a_01,dc87a809-95de-4eb7-a1c2-2650475f2d7e_01,e56e4d9c-052e-4ec6-a81b-dbd53e9c8ffe_01,e6365b38-bc44-400c-b4aa-18ce8ff5bfce_01,ea54dbad-1b23-41cc-9378-d4002a8fca51_01,ed746cb9-0f2f-48ce-923a-3a9f9f00b331_01,eda9496e-be80-4a13-bf06-89f0cc9e937f_01,f0a326d2-1f3e-4a5d-bca8-32aaccc52338_01,f553f1a9-ecf2-4783-a609-6adca7c4c597_01,f784bc3a-751b-4025-aab2-0af2f6f24266_01,f855dad1-6ffc-493e-ba6c-970874bc9210_01,f8cf647b-1447-4ac3-8c43-bef07765cabf_01,f978cb0f-d319-4c01-b4c5-23ae1403a106_01,fdecb74f-ac4e-46b1-b23a-5f7fde96ef9f_01
MIMAT0000082,4938.264733,3195.617295,4866.208932,4901.749737,1857.336087,2236.66996,3327.063416,2851.673099,1336.480987,2164.869831,5455.215289,3876.976078,2081.559519,1435.35217,4655.788258,1802.267263,3468.469602,4399.080129,1060.088212,4866.526261,1964.253973,11774.95653,1652.960325,1645.172845,2844.84006,617.213278,2493.948727,1673.081487,3198.477133,4149.374799,3167.206784,2652.245037,2528.839532,1537.03894,2181.083579,2378.032366,1758.630311,2270.533748,1507.250381,3392.623795,1877.502883,1364.808416,1718.352369,2353.583083,4379.421815,6851.651097,2618.564352
MIMAT0000083,872.301931,1232.79475,3486.561835,809.251137,603.711876,555.27055,611.004022,266.086855,429.814466,486.685758,1525.79888,1816.625296,429.25529,323.222812,491.075097,710.53342,519.767764,783.823539,410.964844,649.141208,386.447664,1425.120785,354.538559,305.761103,455.992051,253.971144,1359.242151,879.530828,845.431201,1005.113424,412.664469,531.110415,601.69471,754.798661,688.23871,665.549938,398.10316,433.255932,353.095222,340.259286,377.575803,430.168843,297.970373,557.427572,1281.150031,413.129186,631.534772
MIMAT0000084,1212.362718,1326.746154,2447.869002,1542.228026,884.797021,1025.674422,785.514117,704.534946,625.804411,1034.013857,1550.405725,711.591366,561.469965,1196.204654,1021.542537,1003.106003,441.852867,599.46512,409.079685,1143.111921,508.107114,1765.841957,481.725191,1050.274545,1303.115212,645.556605,1022.649816,1272.409039,681.632704,595.460698,807.447743,637.156122,1188.323987,729.515372,909.542043,656.032371,919.861514,1478.804142,485.008996,661.367506,1386.942564,470.341635,653.266782,649.729673,2299.349198,730.842784,881.786954
MIMAT0000085,65.914866,98.395049,59.362573,158.129534,67.553611,121.584507,119.693225,153.75025,112.481185,77.34993,69.108585,639.779393,78.620963,182.63023,111.651917,426.521478,127.679896,289.298595,57.183183,113.836871,99.436828,213.380934,21.430714,143.974886,235.464862,37.293855,77.447892,534.63588,67.616263,135.316678,182.164681,59.747164,135.281387,201.34131,255.304905,742.370307,106.502196,69.970532,96.857236,54.042722,84.738386,50.838135,92.686019,78.565236,99.115733,81.712284,68.126727
MIMAT0000086,10711.165766,10635.870073,15657.10716,15391.98318,10857.496043,10965.121181,11847.588104,8366.562055,6109.773457,6365.2804,31683.842885,11150.876081,4636.361615,8149.698871,17400.057035,8323.966981,5538.99515,12094.242583,3513.309543,8015.33545,10541.810172,46337.792343,6565.252799,4482.814,16176.317976,5492.638754,8405.94513,8073.854284,8648.651771,9775.451739,6633.085407,7436.207222,4740.382723,7023.512534,8217.53502,6932.188687,5258.929945,10218.103562,4041.982553,9196.445036,14781.948534,6059.336993,4363.564931,6684.310909,23423.559199,24987.21025,12577.556603
MIMAT0000087,4990.483002,24896.804223,2121.831483,20456.114672,7075.270252,5598.429587,5293.035548,3697.886298,5475.106891,4212.786564,2331.193123,5107.789771,1466.495842,2696.014551,4767.440177,11323.717212,9972.101442,3381.205469,4291.252167,7626.392804,5728.917134,7357.913823,3785.316419,7354.296669,3076.767048,3847.979812,23436.11182,3661.829532,9699.210958,8924.841685,35583.858758,5047.863872,4651.834909,5027.366077,2313.865577,5320.32055,4938.335293,4410.549393,2333.066736,4649.510637,4594.607527,1936.826328,2315.7218,5290.139486,2519.530949,2441.21791,5848.225458
MIMAT0000088,856.465242,5605.026399,309.598655,8180.74498,1672.146015,897.162027,784.202013,1099.389726,1492.932091,612.611442,654.611871,1764.833632,235.862889,802.919094,1287.622108,1850.609719,1798.577426,508.937329,1070.1424,3852.836028,1103.221454,2244.515048,571.17513,1721.167839,1132.511292,1023.716282,4965.950361,1178.878205,1317.681409,2032.106406,10491.791556,658.541638,1588.018988,801.048579,525.26566,1432.393994,777.005203,1566.217186,416.522253,594.732304,1620.405466,249.924541,308.596229,959.17066,672.991292,896.297468,842.046362
MIMAT0000089,0.0,2.539226,0.0,7.972919,0.388239,0.0,1.457896,1.173667,2.385964,0.3094,0.0,0.435224,0.0,1.401255,0.0,0.503567,3.016061,1.50129,0.628387,0.0,0.75331,21.510175,0.0,2.374843,1.17929,0.372939,16.671344,0.97428,0.303894,7.405391,1.676363,1.322816,2.152203,2.15833,1.172468,0.679826,2.432142,0.200489,0.361408,0.0,0.864678,0.355511,0.625051,1.445986,3.281229,0.50753,1.135445
MIMAT0000090,89.027871,44.11907,90.718189,66.972509,33.776805,87.98423,27.991597,36.718981,24.541349,34.033969,132.981672,147.540962,28.060858,19.61757,63.801095,111.791935,53.283735,56.448506,19.479987,39.300824,31.262335,256.114482,24.226025,21.076736,27.123665,17.528111,52.546388,169.281066,57.587782,52.847558,68.172059,41.889156,70.407812,52.108243,54.812879,67.982629,23.745382,51.926557,33.068796,36.203378,64.850807,39.106257,32.234735,24.340763,125.591851,89.325228,41.103125
MIMAT0000091,32.529414,41.579843,42.010436,101.78758,25.235545,51.266402,10.496848,25.820652,14.997492,14.541787,262.996559,154.069323,37.161679,62.589389,45.675784,141.502403,33.176667,26.722963,10.054185,56.918435,13.559568,128.774248,16.305978,14.545915,47.564688,16.409296,47.903737,98.402231,38.290558,57.560079,88.847192,13.889562,61.798996,25.283289,42.501965,232.500592,10.880633,60.547566,9.577302,14.953569,65.427258,9.598808,11.69737,10.603898,73.431632,110.133948,23.163088
