,0775583e-c0a0-4f18-9ca2-8f89cedce3d6_01,180a2b9c-9cac-4d96-86e8-cd6b3b9386b5_01,1d136284-bdf5-498e-9506-4893801a337c_01,20bf79af-3b0f-477d-b619-5597d42f5d5e_01,20bf79af-3b0f-477d-b619-5597d42f5d5e_11,20ec1cd9-7bdb-4eb9-9d20-65795580f1f5_01,22bf93b3-c8dc-4669-862f-3e4ae478849b_01,2d6e20b2-82c7-4c12-92d0-93282b0a9031_01,2d6e20b2-82c7-4c12-92d0-93282b0a9031_11,32e9558c-946b-4288-91e1-504e47c308ac_01,3824cd6d-c85c-4b21-819a-932d1afef976_01,3c8ca064-a4a7-416f-a069-4324d4a72038_01,3c8ca064-a4a7-416f-a069-4324d4a72038_11,41b97b11-acaa-4fbc-b3b0-0abc1bcac13b_01,4290b3b3-94f6-43e4-8309-430dd973ae2d_01,47a9ef9b-04f0-4e8d-bfdb-0846ba30d08b_01,48d17b17-348c-405a-ae92-f190372a3aac_01,5166d82f-7b22-4101-bea9-6056e5a74c48_01,5cf3911a-f3ea-4c0e-851d-5bb57ca7190f_01,5fb3affa-3661-48e8-a1cc-b533c862e8c5_01,6e534dd3-81ac-4575-ab1e-02c21e10916d_01,6e534dd3-81ac-4575-ab1e-02c21e10916d_11,7047dc12-e2ed-40b7-86fd-c5c53a2766fd_01,779ce92d-1abd-44fc-9021-eda4d7f08fff_01,8944fe2a-e32f-4898-a2c5-fb6751f602a4_01,95b69517-4971-450e-9ed0-43bc8b2c0534_01,9d9109f5-5917-4126-8e34-8a7e4632e913_01,aaacf22c-2362-4613-b024-88fb7dd1cca1_01,aaacf22c-2362-4613-b024-88fb7dd1cca1_11,adc9a685-5b4a-4c29-881a-da1895c47520_01,adc9a685-5b4a-4c29-881a-da1895c47520_11,b10c64c2-7fd2-4210-b975-034affb14b57_01,b16e9c3f-c7df-46c2-bee3-ecaebbab025f_01,b4f7f9e4-5fc5-4461-8e0b-0b6c384863c6_01,b4f7f9e4-5fc5-4461-8e0b-0b6c384863c6_11,bc15cec4-1f82-47fe-ae69-3853194fab7e_01,ccb028ae-777c-4af6-b92e-40848f1cf774_01,dcc87c59-fd8c-4511-9983-96d5b9784cb0_01,e76cf9a0-061e-4a7d-ba28-5a40b8da54b8_01,e76cf9a0-061e-4a7d-ba28-5a40b8da54b8_11,f2d42e03-ca8d-4b57-ae39-0cc8f37b1b67_01,f47dbd99-920b-4b39-a1b0-6c152ad24884_01,f47dbd99-920b-4b39-a1b0-6c152ad24884_11,fe57b639-db7a-460f-adfe-552f1e034e46_01,ff4131c9-537c-46cc-b495-9af60d431f5e_01
MIMAT0017950,2.145035,10.32326,2.304372,4.08591,3.025797,3.337385,7.926474,2.849361,3.566957,0.733688,2.882586,2.09566,1.009182,2.360527,4.505376,6.731182,9.293774,2.088088,1.599574,5.264645,7.89323,6.72181,10.855218,3.160986,4.307598,3.367191,4.489982,1.484323,4.02874,2.591293,2.920867,3.52475,9.888951,9.409895,2.68191,5.612854,7.856392,8.011172,5.436738,1.461088,11.916801,7.356621,2.670693,5.900125,7.524726
MIMAT0017981,0.0,0.645204,0.271102,0.0,0.0,0.145104,0.0,0.0,0.0,0.0,0.137266,0.190514,0.0,0.0,0.0,0.0,0.0,0.208809,0.0,0.0,1.315539,0.0,0.0,0.166368,0.095724,0.0,0.309654,0.164925,0.0,0.0,0.0,0.0,0.0,0.0,0.191565,0.37419,0.191619,0.216518,0.23638,0.146109,0.59584,0.253677,0.166918,0.0,0.235148
MIMAT0017982,0.883251,3.226019,0.813307,1.276847,3.214911,2.321659,2.853531,1.06851,3.841339,2.934751,2.196256,0.952573,3.532137,0.354078,0.587658,3.589963,0.206528,1.879278,0.834559,2.167795,0.986655,2.781439,2.123847,1.164574,2.58456,0.4392,1.548269,1.979097,2.589905,1.413433,3.50504,1.26891,0.872554,2.476288,2.490345,1.870952,1.149716,2.814736,1.41828,1.753303,7.150081,2.283089,1.00151,1.290652,1.175739
MIMAT0017983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154827,0.164925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0017984,0.378537,0.0,0.135551,0.0,0.378224,0.145104,0.0,0.0,0.548763,0.0,0.0,0.381028,1.009182,0.0,0.195886,0.0,0.0,0.0,0.139094,0.309685,0.0,0.0,0.235983,0.0,0.191449,0.2928,0.154827,0.329849,0.0,0.0,0.87626,0.14099,0.145426,0.0,0.0,0.0,0.0,0.0,0.0,0.146109,0.59584,0.0,0.667672,0.0,0.0
MIMAT0017985,12.744035,19.356112,27.652471,39.837634,46.332559,14.945675,29.169422,43.987019,43.352259,62.363443,3.843449,18.575172,71.147333,5.665262,14.495558,12.864036,28.913964,8.352344,5.563724,39.329992,22.36415,41.721583,16.282827,37.599066,16.273155,96.330886,14.398902,21.605123,49.783727,37.220408,62.79864,50.897381,17.887368,8.419379,48.274382,110.386134,21.461365,16.888416,12.055376,29.075598,32.771207,31.455894,52.579272,14.934688,17.871224
MIMAT0017986,0.0,0.0,0.0,0.0,0.378225,0.0,0.0,0.0,0.274381,0.0,0.0,0.381028,0.0,0.0,0.195886,0.149582,0.0,0.0,0.069547,0.61937,0.0,0.0,0.0,0.166368,0.0,0.0,0.0,0.164925,0.0,0.235572,0.0,0.0,0.0,0.247629,0.191565,0.74838,0.191619,0.0,0.23638,0.0,0.0,0.0,0.333836,0.0,0.235148
MIMAT0017987,0.0,0.0,0.542205,1.021476,0.378224,0.145104,0.0,0.0,0.548762,0.366844,0.274532,0.095257,1.009182,0.944209,0.587658,0.149582,0.0,0.208809,0.139094,0.929055,0.328885,0.0,0.471966,0.166368,1.14869,0.4392,0.154827,0.0,0.575534,0.471144,0.0,0.70495,0.290852,0.990516,0.574695,2.619332,0.383238,0.216518,1.41828,0.146109,0.0,0.507354,0.166918,0.0,1.410888
MIMAT0017988,0.0,0.0,0.0,0.0,0.0,0.145104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391772,0.149582,0.206528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095724,0.0,0.0,0.0,0.0,0.235572,0.0,0.0,0.0,0.0,0.191565,0.0,0.383238,0.0,0.47276,0.0,0.0,0.0,0.166918,0.184379,0.0
MIMAT0017990,7.69689,4.516426,3.524334,9.44867,14.561661,3.917799,15.535887,5.876808,11.249637,44.021254,7.000568,7.43007,15.13773,3.54079,13.712012,8.526163,4.337094,12.110898,4.103246,10.529289,15.786458,13.443621,6.135558,4.658292,14.550114,5.123984,8.050998,4.782815,13.237292,14.369904,15.772681,10.151278,6.544158,13.619583,12.834855,21.703037,15.329546,9.959836,10.873476,12.127007,11.916802,17.503683,10.682773,9.956457,42.091432
