Case ID,Read Counts,Sample,TCGA Project,miRNA
89,57902b91-be42-441d-8807-a5ea9c21b214,111.664986,57902b91-be42-441d-8807-a5ea9c21b214_01,CESC,miR-151a-5p
90,5798d741-c198-4c14-bcc2-e3b17caf1be3,103.460888,5798d741-c198-4c14-bcc2-e3b17caf1be3_01,CESC,miR-151a-5p
91,58bdcace-0047-456e-a225-68953edafe5e,55.351156,58bdcace-0047-456e-a225-68953edafe5e_01,CESC,miR-151a-5p
92,5916af71-0262-42cf-af4b-eac830a8b419,63.030635,5916af71-0262-42cf-af4b-eac830a8b419_01,CESC,miR-151a-5p
93,5aeac31a-176a-4f93-a376-a93a670821bb,115.465575,5aeac31a-176a-4f93-a376-a93a670821bb_01,CESC,miR-151a-5p
94,5c326e9b-85e2-4673-9033-c11827467e1a,140.090841,5c326e9b-85e2-4673-9033-c11827467e1a_01,CESC,miR-151a-5p
95,5c72bda2-2ec0-455f-ab27-7247fd5ffff9,133.96693,5c72bda2-2ec0-455f-ab27-7247fd5ffff9_01,CESC,miR-151a-5p
96,5dbd5436-696e-40fa-881b-c2386573ac68,76.280076,5dbd5436-696e-40fa-881b-c2386573ac68_01,CESC,miR-151a-5p
97,5e39485a-ac6b-496d-9984-2ea8075f6a9b,68.669958,5e39485a-ac6b-496d-9984-2ea8075f6a9b_01,CESC,miR-151a-5p
98,5e972e96-7271-439a-905c-6e308c1ef29e,74.235691,5e972e96-7271-439a-905c-6e308c1ef29e_01,CESC,miR-151a-5p
99,5ed3c95a-10d0-4cd5-a54d-523e81587fb1,48.452272,5ed3c95a-10d0-4cd5-a54d-523e81587fb1_01,CESC,miR-151a-5p
100,5f22e050-c172-4f2d-a1f9-6cb749b6ef98,49.620683,5f22e050-c172-4f2d-a1f9-6cb749b6ef98_01,CESC,miR-151a-5p
101,60117b70-36c0-41bb-a9fc-85db8fa10102,117.640188,60117b70-36c0-41bb-a9fc-85db8fa10102_01,CESC,miR-151a-5p
102,60cfa29f-4770-4ee4-aa37-787f53155662,88.655038,60cfa29f-4770-4ee4-aa37-787f53155662_01,CESC,miR-151a-5p
103,61eb08d0-ea01-45e7-884b-ac3d6070172a,107.222718,61eb08d0-ea01-45e7-884b-ac3d6070172a_01,CESC,miR-151a-5p
104,6248f2a3-0da9-419f-ab77-c3f6f4353eb5,80.879274,6248f2a3-0da9-419f-ab77-c3f6f4353eb5_01,CESC,miR-151a-5p
105,638035f6-2909-4a44-980f-468ac5d74e18,101.205161,638035f6-2909-4a44-980f-468ac5d74e18_01,CESC,miR-151a-5p
106,63bffdb1-bc08-4175-8be7-d7a056d19816,56.312158,63bffdb1-bc08-4175-8be7-d7a056d19816_01,CESC,miR-151a-5p
107,63dcfa32-c69e-45ad-bea3-ae672acb11c6,51.869203,63dcfa32-c69e-45ad-bea3-ae672acb11c6_01,CESC,miR-151a-5p
108,66229dd6-c771-4455-a90c-c66fb40cf7fe,85.527261,66229dd6-c771-4455-a90c-c66fb40cf7fe_01,CESC,miR-151a-5p
109,67195401-9099-4ca9-9790-f42bcb815289,138.405518,67195401-9099-4ca9-9790-f42bcb815289_01,CESC,miR-151a-5p
